county_fips,state,county_name,nri_risk,nri_eal,nri_risk_rating,nri_version
06001,CA,Alameda,99.77735368956743,1884810318.9883265,Very High,December 2025
06003,CA,Alpine,10.559796437659033,4785307.093641817,Very Low,December 2025
06005,CA,Amador,79.19847328244275,38826327.07892755,Relatively Low,December 2025
06007,CA,Butte,93.92493638676844,127169961.71872997,Relatively Moderate,December 2025
06009,CA,Calaveras,86.60941475826972,53438401.71414969,Relatively Moderate,December 2025
06011,CA,Colusa,81.13867684478372,40632839.85112304,Relatively Moderate,December 2025
06013,CA,Contra Costa,99.49109414758269,970545043.2047123,Very High,December 2025
06015,CA,Del Norte,94.43384223918575,142370364.03312334,Relatively High,December 2025
06017,CA,El Dorado,91.41221374045801,124273271.23118089,Relatively Moderate,December 2025
06019,CA,Fresno,99.30025445292621,557308876.7135193,Relatively High,December 2025
06021,CA,Glenn,74.42748091603053,40918946.53681483,Relatively Low,December 2025
06023,CA,Humboldt,96.7557251908397,188646913.26777422,Relatively High,December 2025
06025,CA,Imperial,96.46946564885496,147566579.83949822,Relatively High,December 2025
06027,CA,Inyo,79.32569974554707,28320123.38957524,Relatively Low,December 2025
06029,CA,Kern,98.88676844783714,416967444.0020316,Relatively High,December 2025
06031,CA,Kings,92.43002544529261,96009401.23924476,Relatively Moderate,December 2025
06033,CA,Lake,93.00254452926208,101021474.7960675,Relatively Moderate,December 2025
06035,CA,Lassen,73.09160305343512,25386681.43428535,Relatively Low,December 2025
06037,CA,Los Angeles,100.0,7601846373.1585455,Very High,December 2025
06039,CA,Madera,96.43765903307889,161585532.0826924,Relatively High,December 2025
06041,CA,Marin,96.37404580152672,259347945.20258707,Relatively High,December 2025
06043,CA,Mariposa,86.41857506361323,38096975.41832334,Relatively Moderate,December 2025
06045,CA,Mendocino,94.3384223918575,116713328.86320075,Relatively High,December 2025
06047,CA,Merced,96.85114503816794,204766057.17598462,Relatively High,December 2025
06049,CA,Modoc,39.69465648854962,9805827.272383714,Very Low,December 2025
06051,CA,Mono,46.50127226463104,16685128.449947126,Relatively Low,December 2025
06053,CA,Monterey,98.72773536895674,402383624.0283023,Relatively High,December 2025
06055,CA,Napa,95.26081424936386,186047671.47214997,Relatively High,December 2025
06057,CA,Nevada,89.8854961832061,80582305.53833745,Relatively Moderate,December 2025
06059,CA,Orange,99.80916030534351,1926466710.366702,Very High,December 2025
06061,CA,Placer,93.06615776081425,162559842.92159295,Relatively Moderate,December 2025
06063,CA,Plumas,86.38676844783714,41063082.823360234,Relatively Moderate,December 2025
06065,CA,Riverside,99.90458015267176,2265637642.986828,Very High,December 2025
06067,CA,Sacramento,98.1234096692112,352365427.00710595,Relatively High,December 2025
06069,CA,San Benito,85.24173027989822,80008768.65582295,Relatively Moderate,December 2025
06071,CA,San Bernardino,99.84096692111959,2075099788.9614384,Very High,December 2025
06073,CA,San Diego,99.71374045801527,1539181273.0765758,Very High,December 2025
06075,CA,San Francisco,99.52290076335878,853429992.6747553,Very High,December 2025
06077,CA,San Joaquin,98.60050890585241,421872900.0119933,Relatively High,December 2025
06079,CA,San Luis Obispo,95.8969465648855,213915950.47812945,Relatively High,December 2025
06081,CA,San Mateo,99.23664122137404,739963779.1581172,Relatively High,December 2025
06083,CA,Santa Barbara,98.9821882951654,477257073.51213324,Relatively High,December 2025
06085,CA,Santa Clara,99.74554707379136,1965273927.8871555,Very High,December 2025
06087,CA,Santa Cruz,97.80534351145039,335404887.55748266,Relatively High,December 2025
06089,CA,Shasta,93.38422391857506,135490377.51554075,Relatively Moderate,December 2025
06091,CA,Sierra,31.520356234096692,8418251.378981035,Very Low,December 2025
06093,CA,Siskiyou,89.02671755725191,56992092.163235955,Relatively Moderate,December 2025
06095,CA,Solano,97.01017811704835,292106753.18361574,Relatively High,December 2025
06097,CA,Sonoma,99.07760814249363,604686271.6492318,Relatively High,December 2025
06099,CA,Stanislaus,96.88295165394402,264910086.20365977,Relatively High,December 2025
06101,CA,Sutter,83.7150127226463,44793210.88466228,Relatively Moderate,December 2025
06103,CA,Tehama,88.89949109414759,68974530.24827845,Relatively Moderate,December 2025
06105,CA,Trinity,79.45292620865139,29126156.129178304,Relatively Low,December 2025
06107,CA,Tulare,97.04198473282443,214061799.38563427,Relatively High,December 2025
06109,CA,Tuolumne,85.20992366412213,50552907.260750756,Relatively Moderate,December 2025
06111,CA,Ventura,99.39567430025446,762169091.2713501,Relatively High,December 2025
06113,CA,Yolo,91.38040712468194,116239526.8715291,Relatively Moderate,December 2025
06115,CA,Yuba,80.88422391857506,46339094.16854766,Relatively Low,December 2025
