GEOID,population
060070001021,1406
060070001022,1142
060070001023,1718
060070001031,2941
060070001032,3381
060070001041,1374
060070001042,1678
060070001043,751
060070001044,2070
060070002011,913
060070002012,877
060070002013,746
060070002014,1604
060070002021,1084
060070002022,1291
060070002023,456
060070002024,875
060070003001,1266
060070003002,1925
060070003003,706
060070003004,888
060070004011,1992
060070004012,3432
060070004031,1557
060070004032,1971
060070004041,2323
060070004042,1319
060070005011,964
060070005012,1221
060070005013,819
060070005014,444
060070005015,1236
060070005021,923
060070005022,1088
060070005023,2111
060070005024,1077
060070006011,1254
060070006012,778
060070006013,1524
060070006031,504
060070006032,883
060070006033,2266
060070006041,1098
060070006042,1006
060070006043,632
060070006044,965
060070006045,818
060070007001,1056
060070007002,1212
060070007003,1699
060070007004,858
060070008001,1184
060070008002,963
060070008003,1198
060070008004,1751
060070008005,676
060070008006,389
060070009011,2921
060070009031,1422
060070009032,1279
060070009033,1683
060070009034,1593
060070009041,2438
060070009042,2073
060070009043,1483
060070009044,1190
060070010001,850
060070010002,933
060070010003,859
060070010004,1137
060070010005,988
060070010006,1058
060070011001,581
060070011002,781
060070011003,1276
060070011004,583
060070011005,530
060070012001,878
060070012002,1368
060070012003,559
060070012004,1016
060070013001,682
060070013002,1060
060070013003,1110
060070013004,855
060070014001,2267
060070014002,1514
060070014003,864
060070014004,1948
060070015001,2016
060070015002,1263
060070015003,2060
060070015004,570
060070015005,331
060070016011,1399
060070016012,511
060070016021,841
060070016022,411
060070016023,1870
060070017021,201
060070017022,624
060070017023,2124
060070017024,1501
060070017031,347
060070017032,1525
060070017041,872
060070017042,884
060070017043,1988
060070018001,454
060070018002,323
060070018003,169
060070018004,173
060070018005,284
060070019001,312
060070019002,161
060070019003,265
060070019004,268
060070020001,449
060070020002,78
060070020003,205
060070020004,144
060070020005,405
060070020006,110
060070021001,499
060070021002,270
060070021003,72
060070021004,138
060070021005,414
060070022001,341
060070022002,990
060070022003,171
060070022004,607
060070023001,172
060070023002,171
060070023003,255
060070023004,179
060070023005,1046
060070024011,303
060070024012,713
060070024021,1086
060070024022,857
060070024023,1012
060070025001,984
060070025002,1873
060070025003,1421
060070025004,1257
060070026011,526
060070026012,869
060070026013,823
060070026021,1276
060070026022,2191
060070026023,794
060070027001,454
060070027002,1265
060070027003,463
060070027004,723
060070027005,1427
060070027006,1646
060070028001,1053
060070028002,545
060070028003,1812
060070028004,795
060070028005,713
060070029001,1482
060070029002,1427
060070030011,633
060070030012,620
060070030013,720
060070030014,415
060070030021,459
060070030022,536
060070030023,946
060070030024,674
060070031001,1229
060070031002,864
060070031003,996
060070031004,1813
060070032001,1031
060070032002,1307
060070032003,1993
060070033001,1615
060070033002,900
060070033003,1744
060070034001,1337
060070034002,1686
060070035011,1075
060070035012,1944
060070035013,555
060070035014,809
060070035021,943
060070035022,930
060070035023,1234
060070035024,1085
060070036001,1409
060070036002,1500
060070036003,1377
060070037001,1058
060070037002,927
060070037003,1804
060070037004,1122
