field,issue,count
eal,Value -161893399.59257442 < min 0.0,1
eal,Value -188858784.43015367 < min 0.0,1
eal,Value -68506728.68851702 < min 0.0,1
eal,Value -123347795.0954811 < min 0.0,1
eal,Value -89109966.50913595 < min 0.0,1
eal,Value -91234374.06700772 < min 0.0,1
eal,Value -52992974.29004746 < min 0.0,1
eal,Value -333078995.33567953 < min 0.0,1
eal,Value -380749619.0886882 < min 0.0,1
eal,Value -87246880.83282192 < min 0.0,1
eal,Value -84045057.32290989 < min 0.0,1
eal,Value -50584837.20930316 < min 0.0,1
eal,Value -117423325.50261894 < min 0.0,1
eal,Value -259393297.45995286 < min 0.0,1
eal,Value -168733315.59560215 < min 0.0,1
eal,Value -90287980.32162474 < min 0.0,1
eal,Value -28430825.097522065 < min 0.0,1
eal,Value -88165035.55328915 < min 0.0,1
eal,Value -239393845.76626223 < min 0.0,1
eal,Value -255912830.85986412 < min 0.0,1
eal,Value -307587663.58962953 < min 0.0,1
eal,Value -111856696.88998678 < min 0.0,1
eal,Value -101858028.7288573 < min 0.0,1
eal,Value -101219727.41800626 < min 0.0,1
eal,Value -120861383.40325516 < min 0.0,1
eal,Value -25224879.541808337 < min 0.0,1
eal,Value -152980058.6641944 < min 0.0,1
eal,Value -57528348.27112823 < min 0.0,1
eal,Value -93088936.4371624 < min 0.0,1
eal,Value -140821408.25525898 < min 0.0,1
eal,Value -39646532.69667312 < min 0.0,1
eal,Value -114212491.19295254 < min 0.0,1
eal,Value -150981144.26113003 < min 0.0,1
eal,Value -37264815.45098639 < min 0.0,1
eal,Value -89889382.41936648 < min 0.0,1
eal,Value -93671339.51711862 < min 0.0,1
eal,Value -40050086.27649743 < min 0.0,1
eal,Value -129132151.45464045 < min 0.0,1
eal,Value -92475004.4298783 < min 0.0,1
eal,Value -43828284.27505568 < min 0.0,1
eal,Value -309359598.0104979 < min 0.0,1
eal,Value -177225715.7796902 < min 0.0,1
eal,Value -122873425.93949525 < min 0.0,1
eal,Value -74955781.87910192 < min 0.0,1
eal,Value -92721253.90894169 < min 0.0,1
eal,Value -134027647.35485089 < min 0.0,1
eal,Value -103121181.55221257 < min 0.0,1
eal,Value -92257896.11352938 < min 0.0,1
eal,Value -107422771.94735046 < min 0.0,1
eal,Value -81999826.9365178 < min 0.0,1
eal,Value -190722682.0537352 < min 0.0,1
eal,Value -126988671.64829482 < min 0.0,1
eal,Value -25257765.9857607 < min 0.0,1
eal,Value -154861377.65261984 < min 0.0,1
eal,Value -175228063.58921087 < min 0.0,1
eal,Value -90730566.80207956 < min 0.0,1
eal,Value -189264272.87490892 < min 0.0,1
eal,Value -151796453.7992131 < min 0.0,1
eal,Value -241176809.68058282 < min 0.0,1
eal,Value -55038064.31496663 < min 0.0,1
eal,Value -32165823.628624596 < min 0.0,1
eal,Value -27094771.12819324 < min 0.0,1
