B01001_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,state,county,tract,block group,GEOID
1500,0,35,22,13,11,0,06,007,000102,1,060070001021
1127,12,7,57,13,18,27,06,007,000102,2,060070001022
1659,9,0,39,14,3,50,06,007,000102,3,060070001023
3017,8,14,20,37,26,46,06,007,000103,1,060070001031
3202,26,22,33,18,35,7,06,007,000103,2,060070001032
1711,18,15,25,62,37,0,06,007,000104,1,060070001041
1576,0,17,0,12,8,39,06,007,000104,2,060070001042
976,0,0,0,19,60,0,06,007,000104,3,060070001043
1749,14,22,46,0,18,0,06,007,000104,4,060070001044
749,16,11,30,18,10,0,06,007,000201,1,060070002011
899,14,24,34,0,9,0,06,007,000201,2,060070002012
899,8,0,26,9,0,0,06,007,000201,3,060070002013
1672,22,19,10,0,0,11,06,007,000201,4,060070002014
1094,0,4,2,0,0,17,06,007,000202,1,060070002021
1238,0,6,0,39,0,0,06,007,000202,2,060070002022
634,0,31,40,15,15,0,06,007,000202,3,060070002023
972,0,15,9,25,22,13,06,007,000202,4,060070002024
1328,11,32,5,4,8,0,06,007,000300,1,060070003001
1735,0,9,18,0,0,0,06,007,000300,2,060070003002
743,10,15,39,7,0,7,06,007,000300,3,060070003003
987,8,0,30,6,0,17,06,007,000300,4,060070003004
1959,1,24,19,20,0,0,06,007,000401,1,060070004011
3470,8,47,52,10,2,10,06,007,000401,2,060070004012
1521,0,5,111,43,18,55,06,007,000403,1,060070004031
1945,19,7,0,15,15,65,06,007,000403,2,060070004032
2637,22,82,30,46,5,47,06,007,000404,1,060070004041
1195,62,37,0,45,0,0,06,007,000404,2,060070004042
887,17,32,44,10,7,0,06,007,000501,1,060070005011
905,8,11,16,22,10,21,06,007,000501,2,060070005012
945,18,12,41,30,0,0,06,007,000501,3,060070005013
692,24,0,0,6,0,0,06,007,000501,4,060070005014
1366,0,0,0,0,0,0,06,007,000501,5,060070005015
758,0,0,57,6,0,9,06,007,000502,1,060070005021
1187,0,0,0,0,0,0,06,007,000502,2,060070005022
2347,0,14,0,54,0,0,06,007,000502,3,060070005023
1092,0,0,8,0,0,0,06,007,000502,4,060070005024
1484,10,9,58,15,0,37,06,007,000601,1,060070006011
789,30,10,28,37,9,0,06,007,000601,2,060070006012
1551,24,25,18,0,0,0,06,007,000601,3,060070006013
573,11,6,3,4,0,0,06,007,000603,1,060070006031
800,12,0,0,3,0,0,06,007,000603,2,060070006032
2404,6,6,12,6,12,0,06,007,000603,3,060070006033
1184,0,0,0,0,0,0,06,007,000604,1,060070006041
1126,0,0,0,0,3,0,06,007,000604,2,060070006042
586,0,0,0,5,0,6,06,007,000604,3,060070006043
785,25,18,17,0,4,0,06,007,000604,4,060070006044
719,0,0,0,0,0,0,06,007,000604,5,060070006045
1438,51,12,28,0,0,0,06,007,000700,1,060070007001
1156,0,117,12,0,0,0,06,007,000700,2,060070007002
1360,0,0,65,23,0,12,06,007,000700,3,060070007003
992,0,12,50,0,13,0,06,007,000700,4,060070007004
1163,19,0,45,3,0,0,06,007,000800,1,060070008001
1020,16,40,109,0,0,0,06,007,000800,2,060070008002
719,30,14,13,27,0,0,06,007,000800,3,060070008003
1980,4,30,26,18,16,18,06,007,000800,4,060070008004
810,31,0,14,0,0,0,06,007,000800,5,060070008005
483,0,28,0,0,0,0,06,007,000800,6,060070008006
3010,29,82,28,42,39,29,06,007,000901,1,060070009011
1628,12,22,14,7,11,6,06,007,000903,1,060070009031
1391,3,17,20,8,2,2,06,007,000903,2,060070009032
1923,24,15,25,0,0,21,06,007,000903,3,060070009033
1545,33,20,40,16,16,16,06,007,000903,4,060070009034
2618,16,20,84,20,25,26,06,007,000904,1,060070009041
2218,37,13,69,17,0,0,06,007,000904,2,060070009042
1482,0,15,35,0,0,0,06,007,000904,3,060070009043
874,38,25,42,0,15,52,06,007,000904,4,060070009044
788,0,0,22,0,0,17,06,007,001000,1,060070010001
948,0,0,0,0,0,0,06,007,001000,2,060070010002
420,0,0,0,0,0,0,06,007,001000,3,060070010003
616,0,0,0,0,0,0,06,007,001000,4,060070010004
734,0,0,0,0,0,0,06,007,001000,5,060070010005
1093,0,0,18,0,0,0,06,007,001000,6,060070010006
663,0,0,0,0,0,0,06,007,001100,1,060070011001
812,24,20,8,40,8,7,06,007,001100,2,060070011002
1389,11,0,36,3,0,0,06,007,001100,3,060070011003
411,14,7,7,22,0,0,06,007,001100,4,060070011004
528,0,0,1,0,0,0,06,007,001100,5,060070011005
1195,11,18,6,0,17,0,06,007,001200,1,060070012001
1349,6,14,0,0,0,0,06,007,001200,2,060070012002
632,0,0,18,20,0,7,06,007,001200,3,060070012003
1264,0,0,0,0,0,0,06,007,001200,4,060070012004
828,0,0,8,8,0,0,06,007,001300,1,060070013001
1026,42,0,30,0,0,0,06,007,001300,2,060070013002
977,12,13,12,16,0,25,06,007,001300,3,060070013003
724,14,0,0,0,9,0,06,007,001300,4,060070013004
2163,44,52,141,97,0,17,06,007,001400,1,060070014001
1782,21,53,37,12,31,0,06,007,001400,2,060070014002
970,0,28,0,18,0,0,06,007,001400,3,060070014003
1835,0,18,57,46,0,61,06,007,001400,4,060070014004
1380,96,53,12,21,12,60,06,007,001500,1,060070015001
1593,0,53,13,0,0,0,06,007,001500,2,060070015002
1942,36,12,32,45,11,0,06,007,001500,3,060070015003
597,0,104,37,0,12,0,06,007,001500,4,060070015004
359,0,0,0,0,0,0,06,007,001500,5,060070015005
1376,0,0,192,0,0,0,06,007,001601,1,060070016011
561,0,18,18,0,0,0,06,007,001601,2,060070016012
908,42,0,13,0,18,0,06,007,001602,1,060070016021
483,0,75,43,24,0,0,06,007,001602,2,060070016022
1796,34,33,105,27,17,0,06,007,001602,3,060070016023
563,17,0,19,38,14,0,06,007,001702,1,060070017021
899,0,62,96,38,24,10,06,007,001702,2,060070017022
2115,56,73,87,24,19,0,06,007,001702,3,060070017023
