B25077_001E,state,county,tract,block group,GEOID
353500,06,007,000102,1,060070001021
325300,06,007,000102,2,060070001022
-666666666,06,007,000102,3,060070001023
371300,06,007,000103,1,060070001031
430800,06,007,000103,2,060070001032
356400,06,007,000104,1,060070001041
371400,06,007,000104,2,060070001042
349700,06,007,000104,3,060070001043
360700,06,007,000104,4,060070001044
73000,06,007,000201,1,060070002011
-666666666,06,007,000201,2,060070002012
356900,06,007,000201,3,060070002013
357400,06,007,000201,4,060070002014
332200,06,007,000202,1,060070002021
355200,06,007,000202,2,060070002022
55400,06,007,000202,3,060070002023
256400,06,007,000202,4,060070002024
-666666666,06,007,000300,1,060070003001
-666666666,06,007,000300,2,060070003002
338200,06,007,000300,3,060070003003
316900,06,007,000300,4,060070003004
475800,06,007,000401,1,060070004011
528200,06,007,000401,2,060070004012
-666666666,06,007,000403,1,060070004031
390500,06,007,000403,2,060070004032
475400,06,007,000404,1,060070004041
469600,06,007,000404,2,060070004042
482500,06,007,000501,1,060070005011
466500,06,007,000501,2,060070005012
456300,06,007,000501,3,060070005013
354900,06,007,000501,4,060070005014
-666666666,06,007,000501,5,060070005015
550500,06,007,000502,1,060070005021
-666666666,06,007,000502,2,060070005022
323300,06,007,000502,3,060070005023
-666666666,06,007,000502,4,060070005024
400700,06,007,000601,1,060070006011
373700,06,007,000601,2,060070006012
350800,06,007,000601,3,060070006013
336200,06,007,000603,1,060070006031
248200,06,007,000603,2,060070006032
471100,06,007,000603,3,060070006033
-666666666,06,007,000604,1,060070006041
-666666666,06,007,000604,2,060070006042
-666666666,06,007,000604,3,060070006043
355300,06,007,000604,4,060070006044
-666666666,06,007,000604,5,060070006045
258600,06,007,000700,1,060070007001
350000,06,007,000700,2,060070007002
422800,06,007,000700,3,060070007003
384000,06,007,000700,4,060070007004
429800,06,007,000800,1,060070008001
451700,06,007,000800,2,060070008002
419600,06,007,000800,3,060070008003
396200,06,007,000800,4,060070008004
435300,06,007,000800,5,060070008005
335600,06,007,000800,6,060070008006
437800,06,007,000901,1,060070009011
328500,06,007,000903,1,060070009031
319200,06,007,000903,2,060070009032
390600,06,007,000903,3,060070009033
276300,06,007,000903,4,060070009034
581500,06,007,000904,1,060070009041
433000,06,007,000904,2,060070009042
343800,06,007,000904,3,060070009043
378900,06,007,000904,4,060070009044
282500,06,007,001000,1,060070010001
581100,06,007,001000,2,060070010002
523900,06,007,001000,3,060070010003
-666666666,06,007,001000,4,060070010004
-666666666,06,007,001000,5,060070010005
-666666666,06,007,001000,6,060070010006
-666666666,06,007,001100,1,060070011001
202600,06,007,001100,2,060070011002
342900,06,007,001100,3,060070011003
525900,06,007,001100,4,060070011004
-666666666,06,007,001100,5,060070011005
320300,06,007,001200,1,060070012001
311600,06,007,001200,2,060070012002
346400,06,007,001200,3,060070012003
-666666666,06,007,001200,4,060070012004
219600,06,007,001300,1,060070013001
243300,06,007,001300,2,060070013002
350000,06,007,001300,3,060070013003
305700,06,007,001300,4,060070013004
654600,06,007,001400,1,060070014001
449100,06,007,001400,2,060070014002
410900,06,007,001400,3,060070014003
659900,06,007,001400,4,060070014004
439600,06,007,001500,1,060070015001
494800,06,007,001500,2,060070015002
601600,06,007,001500,3,060070015003
525000,06,007,001500,4,060070015004
134400,06,007,001500,5,060070015005
347200,06,007,001601,1,060070016011
614300,06,007,001601,2,060070016012
440200,06,007,001602,1,060070016021
442800,06,007,001602,2,060070016022
554900,06,007,001602,3,060070016023
176200,06,007,001702,1,060070017021
192700,06,007,001702,2,060070017022
173700,06,007,001702,3,060070017023
168800,06,007,001702,4,060070017024
156500,06,007,001703,1,060070017031
248200,06,007,001703,2,060070017032
363300,06,007,001704,1,060070017041
237100,06,007,001704,2,060070017042
162400,06,007,001704,3,060070017043
395000,06,007,001800,1,060070018001
300900,06,007,001800,2,060070018002
51300,06,007,001800,3,060070018003
-666666666,06,007,001800,4,060070018004
405300,06,007,001800,5,060070018005
338600,06,007,001900,1,060070019001
-666666666,06,007,001900,2,060070019002
337800,06,007,001900,3,060070019003
233300,06,007,001900,4,060070019004
336100,06,007,002000,1,060070020001
220000,06,007,002000,2,060070020002
284600,06,007,002000,3,060070020003
228100,06,007,002000,4,060070020004
-666666666,06,007,002000,5,060070020005
306300,06,007,002000,6,060070020006
332100,06,007,002100,1,060070021001
-666666666,06,007,002100,2,060070021002
226100,06,007,002100,3,060070021003
310700,06,007,002100,4,060070021004
129300,06,007,002100,5,060070021005
272100,06,007,002200,1,060070022001
494500,06,007,002200,2,060070022002
248100,06,007,002200,3,060070022003
-666666666,06,007,002200,4,060070022004
246100,06,007,002300,1,060070023001
439700,06,007,002300,2,060070023002
242900,06,007,002300,3,060070023003
-666666666,06,007,002300,4,060070023004
369200,06,007,002300,5,060070023005
273100,06,007,002401,1,060070024011
192500,06,007,002401,2,060070024012
259900,06,007,002402,1,060070024021
240400,06,007,002402,2,060070024022
275000,06,007,002402,3,060070024023
190600,06,007,002500,1,060070025001
296700,06,007,002500,2,060070025002
-666666666,06,007,002500,3,060070025003
307900,06,007,002500,4,060070025004
279400,06,007,002601,1,060070026011
231400,06,007,002601,2,060070026012
335700,06,007,002601,3,060070026013
219000,06,007,002602,1,060070026021
224300,06,007,002602,2,060070026022
402300,06,007,002602,3,060070026023
400000,06,007,002700,1,060070027001
267900,06,007,002700,2,060070027002
301300,06,007,002700,3,060070027003
256800,06,007,002700,4,060070027004
214200,06,007,002700,5,060070027005
315900,06,007,002700,6,060070027006
191500,06,007,002800,1,060070028001
310300,06,007,002800,2,060070028002
149800,06,007,002800,3,060070028003
208900,06,007,002800,4,060070028004
177400,06,007,002800,5,060070028005
224100,06,007,002900,1,060070029001
210000,06,007,002900,2,060070029002
115400,06,007,003001,1,060070030011
-666666666,06,007,003001,2,060070030012
158000,06,007,003001,3,060070030013
222200,06,007,003001,4,060070030014
133300,06,007,003002,1,060070030021
168000,06,007,003002,2,060070030022
191000,06,007,003002,3,060070030023
157500,06,007,003002,4,060070030024
316400,06,007,003100,1,060070031001
325000,06,007,003100,2,060070031002
235000,06,007,003100,3,060070031003
228700,06,007,003100,4,060070031004
-666666666,06,007,003200,1,060070032001
307600,06,007,003200,2,060070032002
207800,06,007,003200,3,060070032003
287800,06,007,003300,1,060070033001
313100,06,007,003300,2,060070033002
224400,06,007,003300,3,060070033003
318400,06,007,003400,1,060070034001
289100,06,007,003400,2,060070034002
341000,06,007,003501,1,060070035011
213900,06,007,003501,2,060070035012
204400,06,007,003501,3,060070035013
313800,06,007,003501,4,060070035014
329200,06,007,003502,1,060070035021
200700,06,007,003502,2,060070035022
194600,06,007,003502,3,060070035023
173300,06,007,003502,4,060070035024
251200,06,007,003600,1,060070036001
234200,06,007,003600,2,060070036002
512700,06,007,003600,3,060070036003
119000,06,007,003700,1,060070037001
-666666666,06,007,003700,2,060070037002
187800,06,007,003700,3,060070037003
164700,06,007,003700,4,060070037004
