B17001_002E,B17001_001E,state,county,tract,block group,GEOID
,,06,007,000102,1,060070001021
,,06,007,000102,2,060070001022
,,06,007,000102,3,060070001023
,,06,007,000103,1,060070001031
,,06,007,000103,2,060070001032
,,06,007,000104,1,060070001041
,,06,007,000104,2,060070001042
,,06,007,000104,3,060070001043
,,06,007,000104,4,060070001044
,,06,007,000201,1,060070002011
,,06,007,000201,2,060070002012
,,06,007,000201,3,060070002013
,,06,007,000201,4,060070002014
,,06,007,000202,1,060070002021
,,06,007,000202,2,060070002022
,,06,007,000202,3,060070002023
,,06,007,000202,4,060070002024
,,06,007,000300,1,060070003001
,,06,007,000300,2,060070003002
,,06,007,000300,3,060070003003
,,06,007,000300,4,060070003004
,,06,007,000401,1,060070004011
,,06,007,000401,2,060070004012
,,06,007,000403,1,060070004031
,,06,007,000403,2,060070004032
,,06,007,000404,1,060070004041
,,06,007,000404,2,060070004042
,,06,007,000501,1,060070005011
,,06,007,000501,2,060070005012
,,06,007,000501,3,060070005013
,,06,007,000501,4,060070005014
,,06,007,000501,5,060070005015
,,06,007,000502,1,060070005021
,,06,007,000502,2,060070005022
,,06,007,000502,3,060070005023
,,06,007,000502,4,060070005024
,,06,007,000601,1,060070006011
,,06,007,000601,2,060070006012
,,06,007,000601,3,060070006013
,,06,007,000603,1,060070006031
,,06,007,000603,2,060070006032
,,06,007,000603,3,060070006033
,,06,007,000604,1,060070006041
,,06,007,000604,2,060070006042
,,06,007,000604,3,060070006043
,,06,007,000604,4,060070006044
,,06,007,000604,5,060070006045
,,06,007,000700,1,060070007001
,,06,007,000700,2,060070007002
,,06,007,000700,3,060070007003
,,06,007,000700,4,060070007004
,,06,007,000800,1,060070008001
,,06,007,000800,2,060070008002
,,06,007,000800,3,060070008003
,,06,007,000800,4,060070008004
,,06,007,000800,5,060070008005
,,06,007,000800,6,060070008006
,,06,007,000901,1,060070009011
,,06,007,000903,1,060070009031
,,06,007,000903,2,060070009032
,,06,007,000903,3,060070009033
,,06,007,000903,4,060070009034
,,06,007,000904,1,060070009041
,,06,007,000904,2,060070009042
,,06,007,000904,3,060070009043
,,06,007,000904,4,060070009044
,,06,007,001000,1,060070010001
,,06,007,001000,2,060070010002
,,06,007,001000,3,060070010003
,,06,007,001000,4,060070010004
,,06,007,001000,5,060070010005
,,06,007,001000,6,060070010006
,,06,007,001100,1,060070011001
,,06,007,001100,2,060070011002
,,06,007,001100,3,060070011003
,,06,007,001100,4,060070011004
,,06,007,001100,5,060070011005
,,06,007,001200,1,060070012001
,,06,007,001200,2,060070012002
,,06,007,001200,3,060070012003
,,06,007,001200,4,060070012004
,,06,007,001300,1,060070013001
,,06,007,001300,2,060070013002
,,06,007,001300,3,060070013003
,,06,007,001300,4,060070013004
,,06,007,001400,1,060070014001
,,06,007,001400,2,060070014002
,,06,007,001400,3,060070014003
,,06,007,001400,4,060070014004
,,06,007,001500,1,060070015001
,,06,007,001500,2,060070015002
,,06,007,001500,3,060070015003
,,06,007,001500,4,060070015004
,,06,007,001500,5,060070015005
,,06,007,001601,1,060070016011
,,06,007,001601,2,060070016012
,,06,007,001602,1,060070016021
,,06,007,001602,2,060070016022
,,06,007,001602,3,060070016023
,,06,007,001702,1,060070017021
,,06,007,001702,2,060070017022
,,06,007,001702,3,060070017023
,,06,007,001702,4,060070017024
,,06,007,001703,1,060070017031
,,06,007,001703,2,060070017032
,,06,007,001704,1,060070017041
,,06,007,001704,2,060070017042
,,06,007,001704,3,060070017043
,,06,007,001800,1,060070018001
,,06,007,001800,2,060070018002
,,06,007,001800,3,060070018003
,,06,007,001800,4,060070018004
,,06,007,001800,5,060070018005
,,06,007,001900,1,060070019001
,,06,007,001900,2,060070019002
,,06,007,001900,3,060070019003
,,06,007,001900,4,060070019004
,,06,007,002000,1,060070020001
,,06,007,002000,2,060070020002
,,06,007,002000,3,060070020003
,,06,007,002000,4,060070020004
,,06,007,002000,5,060070020005
,,06,007,002000,6,060070020006
,,06,007,002100,1,060070021001
,,06,007,002100,2,060070021002
,,06,007,002100,3,060070021003
,,06,007,002100,4,060070021004
,,06,007,002100,5,060070021005
,,06,007,002200,1,060070022001
,,06,007,002200,2,060070022002
,,06,007,002200,3,060070022003
,,06,007,002200,4,060070022004
,,06,007,002300,1,060070023001
,,06,007,002300,2,060070023002
,,06,007,002300,3,060070023003
,,06,007,002300,4,060070023004
,,06,007,002300,5,060070023005
,,06,007,002401,1,060070024011
,,06,007,002401,2,060070024012
,,06,007,002402,1,060070024021
,,06,007,002402,2,060070024022
,,06,007,002402,3,060070024023
,,06,007,002500,1,060070025001
,,06,007,002500,2,060070025002
,,06,007,002500,3,060070025003
,,06,007,002500,4,060070025004
,,06,007,002601,1,060070026011
,,06,007,002601,2,060070026012
,,06,007,002601,3,060070026013
,,06,007,002602,1,060070026021
,,06,007,002602,2,060070026022
,,06,007,002602,3,060070026023
,,06,007,002700,1,060070027001
,,06,007,002700,2,060070027002
,,06,007,002700,3,060070027003
,,06,007,002700,4,060070027004
