B17001_002E,B17001_001E,state,county,tract,GEOID
928,4268,06,007,000102,06007000102
415,6219,06,007,000103,06007000103
1207,5950,06,007,000104,06007000104
409,4219,06,007,000201,06007000201
690,3931,06,007,000202,06007000202
951,4513,06,007,000300,06007000300
475,5408,06,007,000401,06007000401
471,3442,06,007,000403,06007000403
128,3795,06,007,000404,06007000404
1088,4203,06,007,000501,06007000501
2749,5364,06,007,000502,06007000502
354,3824,06,007,000601,06007000601
1123,2535,06,007,000603,06007000603
1794,4006,06,007,000604,06007000604
1017,4946,06,007,000700,06007000700
640,6167,06,007,000800,06007000800
247,2980,06,007,000901,06007000901
1042,6366,06,007,000903,06007000903
1153,7120,06,007,000904,06007000904
1766,4242,06,007,001000,06007001000
1139,3742,06,007,001100,06007001100
1814,4424,06,007,001200,06007001200
840,3550,06,007,001300,06007001300
375,6720,06,007,001400,06007001400
308,5833,06,007,001500,06007001500
110,1937,06,007,001601,06007001601
216,3168,06,007,001602,06007001602
476,4740,06,007,001702,06007001702
243,2202,06,007,001703,06007001703
811,4100,06,007,001704,06007001704
243,1830,06,007,001800,06007001800
318,912,06,007,001900,06007001900
186,1635,06,007,002000,06007002000
294,1422,06,007,002100,06007002100
165,2538,06,007,002200,06007002200
639,2203,06,007,002300,06007002300
98,1159,06,007,002401,06007002401
897,3138,06,007,002402,06007002402
1388,4899,06,007,002500,06007002500
179,2266,06,007,002601,06007002601
313,4011,06,007,002602,06007002602
721,5739,06,007,002700,06007002700
1209,4721,06,007,002800,06007002800
522,2989,06,007,002900,06007002900
574,2197,06,007,003001,06007003001
471,2587,06,007,003002,06007003002
515,4879,06,007,003100,06007003100
1003,4091,06,007,003200,06007003200
546,4095,06,007,003300,06007003300
368,3478,06,007,003400,06007003400
262,4341,06,007,003501,06007003501
445,4248,06,007,003502,06007003502
339,4199,06,007,003600,06007003600
1057,5102,06,007,003700,06007003700
