GEOID,housing_units
060070001023,644
060070001021,610
060070001022,568
060070001031,1210
060070001032,1081
060070001041,689
060070001044,635
060070001042,788
060070001043,493
060070002012,338
060070002011,553
060070002013,282
060070002014,885
060070002021,697
060070002024,475
060070002022,447
060070002023,429
060070003003,273
060070003001,425
060070003002,869
060070003004,508
060070004012,1261
060070004011,751
060070004031,723
060070004032,857
060070004042,524
060070004041,1100
060070005013,319
060070005011,453
060070005012,463
060070005014,111
060070005015,591
060070005021,345
060070005024,546
060070005022,499
060070005023,756
060070006013,664
060070006011,406
060070006012,351
060070006033,457
060070006031,309
060070006032,378
060070006044,351
060070006041,259
060070006042,678
060070006043,284
060070006045,410
060070007002,626
060070007001,689
060070007003,721
060070007004,554
060070008001,396
060070008002,332
060070008003,399
060070008004,613
060070008005,342
060070008006,260
060070009011,1197
060070009031,494
060070009032,519
060070009033,955
060070009034,1166
060070009044,780
060070009041,1026
060070009042,775
060070009043,407
060070010003,322
060070010005,392
060070010001,380
060070010002,267
060070010004,310
060070010006,863
060070011002,566
060070011005,354
060070011001,371
060070011003,434
060070011004,329
060070012003,330
060070012001,590
060070012002,388
060070012004,383
060070013002,384
060070013003,363
060070013001,474
060070013004,377
060070014002,531
060070014001,818
060070014003,390
060070014004,578
060070015001,465
060070015004,321
060070015002,470
060070015003,677
060070015005,224
060070016011,872
060070016012,222
060070016022,386
060070016021,598
060070016023,776
060070017022,127
060070017021,75
060070017023,946
060070017024,500
060070017031,167
060070017032,602
060070017043,702
060070017041,362
060070017042,385
060070018003,91
060070018005,56
060070018001,152
060070018002,54
060070018004,82
060070019003,142
060070019001,49
060070019002,88
060070019004,91
060070020002,50
060070020005,102
060070020001,68
060070020003,71
060070020004,68
060070020006,86
060070021001,75
060070021004,151
060070021002,19
060070021003,57
060070021005,222
060070022001,113
060070022002,451
060070022003,57
060070022004,196
060070023001,100
060070023002,111
060070023003,128
060070023004,59
060070023005,456
060070024011,388
060070024012,492
060070024021,513
060070024022,786
060070024023,791
060070025002,543
060070025001,352
060070025003,279
060070025004,542
060070026011,337
060070026013,385
060070026012,464
060070026023,357
060070026021,600
060070026022,883
060070027003,262
060070027006,340
060070027001,342
060070027002,447
060070027004,373
060070027005,594
060070028003,639
060070028001,364
060070028002,455
060070028004,283
060070028005,358
060070029001,595
060070029002,443
060070030011,353
060070030014,254
060070030012,265
060070030013,298
060070030023,332
060070030021,312
060070030022,300
060070030024,313
060070031002,421
060070031001,504
060070031003,342
060070031004,539
060070032001,532
060070032003,584
060070032002,563
060070033003,764
060070033001,826
060070033002,473
060070034001,523
060070034002,592
060070035011,389
060070035012,365
060070035013,298
060070035014,281
060070035023,383
060070035021,395
060070035022,435
060070035024,511
060070036002,411
060070036001,348
060070036003,556
060070037002,468
060070037001,597
060070037003,473
060070037004,414
