GEOID,population
060070001023,1305
060070001021,1401
060070001022,1496
060070001031,3203
060070001032,2884
060070001041,1699
060070001044,1680
060070001042,1583
060070001043,1191
060070002012,850
060070002011,1066
060070002013,712
060070002014,1842
060070002021,1474
060070002024,822
060070002022,980
060070002023,753
060070003003,574
060070003001,1065
060070003002,2112
060070003004,989
060070004012,3149
060070004011,1950
060070004031,1496
060070004032,1933
060070004042,1160
060070004041,2910
060070005013,816
060070005011,1047
060070005012,1183
060070005014,285
060070005015,1608
060070005021,828
060070005024,1225
060070005022,1411
060070005023,1436
060070006013,1640
060070006011,979
060070006012,767
060070006033,2083
060070006031,645
060070006032,722
060070006044,793
060070006041,858
060070006042,1167
060070006043,744
060070006045,1009
060070007002,1318
060070007001,1196
060070007003,1538
060070007004,1029
060070008001,981
060070008002,844
060070008003,1043
060070008004,1254
060070008005,865
060070008006,639
060070009011,2799
060070009031,1265
060070009032,1208
060070009033,2440
060070009034,2129
060070009044,1272
060070009041,2375
060070009042,1731
060070009043,953
060070010003,634
060070010005,689
060070010001,816
060070010002,663
060070010004,672
060070010006,1505
060070011002,1215
060070011005,726
060070011001,945
060070011003,1044
060070011004,638
060070012003,810
060070012001,1020
060070012002,828
060070012004,830
060070013002,921
060070013003,1035
060070013001,1278
060070013004,845
060070014002,1323
060070014001,2270
060070014003,1053
060070014004,1497
060070015001,1168
060070015004,812
060070015002,1239
060070015003,1694
060070015005,591
060070016011,1224
060070016012,488
060070016022,736
060070016021,1326
060070016023,1678
060070017022,264
060070017021,137
060070017023,2042
060070017024,1131
060070017031,433
060070017032,1308
060070017043,1713
060070017041,651
060070017042,897
060070018003,138
060070018005,124
060070018001,303
060070018002,108
060070018004,167
060070019003,215
060070019001,90
060070019002,203
060070019004,167
060070020002,101
060070020005,248
060070020001,138
060070020003,159
060070020004,130
060070020006,110
060070021001,124
060070021004,315
060070021002,48
060070021003,137
060070021005,302
060070022001,228
060070022002,1060
060070022003,104
060070022004,407
060070023001,234
060070023002,215
060070023003,206
060070023004,143
060070023005,1053
060070024011,545
060070024012,873
060070024021,850
060070024022,1276
060070024023,1429
060070025002,1507
060070025001,975
060070025003,1169
060070025004,1357
060070026011,701
060070026013,886
060070026012,887
060070026023,843
060070026021,1415
060070026022,1722
060070027003,662
060070027006,806
060070027001,847
060070027002,1125
060070027004,941
060070027005,1452
060070028003,1454
060070028001,669
060070028002,1004
060070028004,754
060070028005,837
060070029001,1728
060070029002,1587
060070030011,878
060070030014,714
060070030012,658
060070030013,891
060070030023,1034
060070030021,708
060070030022,873
060070030024,893
060070031002,1098
060070031001,1290
060070031003,884
060070031004,1303
060070032001,1295
060070032003,1529
060070032002,1528
060070033003,2045
060070033001,2014
060070033002,1012
060070034001,1354
060070034002,1567
060070035011,1093
060070035012,921
060070035013,803
060070035014,899
060070035023,1130
060070035021,1059
060070035022,1282
060070035024,1589
060070036002,1124
060070036001,1018
060070036003,1426
060070037002,1207
060070037001,1569
060070037003,1313
060070037004,1160
